EVTNAME94050;Tomb of Nitocris Found;;;;;;;;;;;;;x;;;;
EVTDESC94050;Tomb of Nitocris Found.';;;;;;;;;;;;;x;;;;
EVTDESC94050_NEWS_LONG;Tomb of Nitocris Found! Resting place of forgotten Queen uncovered.;;;;;;;;;;;;;x;;;;
EVTDESC94050_NEWS_MEDIUM;The Tomb of Nitocris Found! Resting place of the forgotten Queen uncovered.;;;;;;;;;;;;;x;;;;
EVTDESC94050_NEWS_SHORT;Tomb of Nitocris Found! Tomb of forgotten Queen uncovered.;;;;;;;;;;;;;x;;;;
EVTOPT94050A;An Interesting Find...;;;;;;;;;;;;;x;;;;
EVTNAME94051;A Truly Interesting Find...;;;;;;;;;;;;;x;;;;
EVTDESC94051;The Tomb of Nitocris may not be packed with treasures, but a most exquisite piece of furniture has been found. An ancient Mirror of intricate design. The finders have requested that it should be given, as a symbol of gratitude for the aid provided, to the leader of their country...You.;;;;;;;;;;;;;x;;;;
EVTOPT94051A;A Most Welcome Gift.;;;;;;;;;;;;;x;;;;
EVTOPT94051B;It Belongs In A Museum.;;;;;;;;;;;;;x;;;;
EVTNAME94052;A Baleful Influence;;;;;;;;;;;;;x;;;;
EVTDESC94052;Every day you stare into the Mirror of Nitocris, and every day the world seems a bit different. A bit more mundane. You can't understand why people would continue along that path while there is greater glory to be had in worshiping other entities.;;;;;;;;;;;;;x;;;;
EVTOPT94052A;Cultists Are Just Misunderstood...;;;;;;;;;;;;;x;;;;
EVTNAME94055;Trail of the Dark Pyramid;;;;;;;;;;;;;x;;;;
EVTDESC94055;Trail of the Dark Pyramid;;;;;;;;;;;;;x;;;;
EVTOPT94055A;They Must Continue...;;;;;;;;;;;;;x;;;;
EVTOPT94055B;They Must Stop...;;;;;;;;;;;;;x;;;;
EVTNAME94056;Annoying Archaeologists;;;;;;;;;;;;;x;;;;
EVTDESC94056;The local inhabitants are getting distressed by the activities of the foreigners digging around their country. They seem afraid that old curses will be reawakened and turn the region into the home of evil beings.;;;;;;;;;;;;;x;;;;
EVTOPT94056A;Let Them Continue;;;;;;;;;;;;;x;;;;
EVTOPT94056B;They Must Stop...;;;;;;;;;;;;;x;;;;
EVTNAME94057;Local Disapproval;;;;;;;;;;;;;x;;;;
EVTDESC94057;The have rejected our request to expand our searches in the area. Should we allow them to order us around, or should we get our archaeologists to cease the search?;;;;;;;;;;;;;x;;;;
EVTOPT94057A;Can Not Stop Now...;;;;;;;;;;;;;x;;;;
EVTOPT94057B;Get Them To Stop;;;;;;;;;;;;;x;;;;
EVTNAME94058;Dark Pyramid Found!;;;;;;;;;;;;;x;;;;
EVTDESC94058;The Legendary Dark Pyramid has been found! Tomb of forgotten Pharaoh uncovered.';;;;;;;;;;;;;x;;;;
EVTDESC94058_NEWS_LONG;Dark Pyramid Found! The $COUNTRY_ADJ$ have found the Tomb of the forgotten Pharaoh.;;;;;;;;;;;;;x;;;;
EVTDESC94058_NEWS_MEDIUM;Dark Pyramid Found! Tomb of forgotten Pharaoh uncovered by the $COUNTRY_ADJ$.;;;;;;;;;;;;;x;;;;
EVTDESC94058_NEWS_SHORT;Dark Pyramid Found! Tomb of forgotten Pharaoh uncovered.;;;;;;;;;;;;;x;;;;
EVTOPT94058A;Hurrah!;;;;;;;;;;;;;x;;;;
EVTNAME94059;Your Reward;;;;;;;;;;;;;x;;;;
EVTDESC94059;Book of Thoth;;;;;;;;;;;;;x;;;;
EVTOPT94059A;A Great Treasure For Our Country!;;;;;;;;;;;;;x;;;;
EVTOPT94059B;It Belongs To The Locals;;;;;;;;;;;;;x;;;;
artifact_nitocris_mirror;The Mirror Of Nitocris;;;;;;;;;;;;;x;;;;
desc_artifact_nitocris_mirror;An Artifact from the tomb of Queen Nitocris;;;;;;;;;;;;;x;;;;
artifact_book_thoth;The Book Of Thoth;;;;;;;;;;;;;x;;;;
desc_artifact_book_thoth;An Artifact recovered from the Dark Pyramid;;;;;;;;;;;;;x;;;;
