EVTNAME94160;A New Dark Age;;;;;;;;;;;;;x;;;;
EVTDESC94160;The world is changing. A New Age is beginning, and this will probably not be a good thing for the lonely planet.\n\nOver the course of the next century, Eldritch entities will emerge out of the depths of space and time, as they begin their corruption of humanity.\n\nSlowly at first, working in the shadows, but then accelerating their plans towards a final confrontation for the soul of the world.\n\nWill the Hasturians defy Cthuhlu and go it alone?\nWill the Mi-Go and their agents just sit by and watch?\nWill Herbert West pay his Miskatonic Library late fees?\n\nBased on vanilla Victoria 2 HoD for an authentic dystopian experience.;;;;;;;;;;;;;x;;;;
EVTOPT94160A;And so it begins...;;;;;;;;;;;;;x;;;;
EVTNAME94120;Unaussprechlichen Kulten;;;;;;;;;;;;;x;;;;
EVTDESC94120;A book by the name of 'Nameless Cults' is being published in Dusseldorf. Containing depraved stories of 'lost gods', the product of the obviously deranged mind of Friedrich von Junzt, it is starting to be distributed across the land. It is causing distress amongst religious circles who are calling for it to be banned.;;;;;;;;;;;;;x;;;;
EVTOPT94120A;What harm can a book do?;;;;;;;;;;;;;x;;;;
EVTOPT94120B;Such writings must be supressed!;;;;;;;;;;;;;x;;;;
EVTDESC94120_NEWS_LONG;A book by the name of 'Nameless Cults' is being published in Dusseldorf. Containing depraved stories of 'lost gods and civilisations', the product of the deranged mind of the wanderer Friedrich von Junzt, it is starting to be distributed across $COUNTRY$, causing much concern in religious circles;;;;;;;;;;;;;x;;;;
EVTDESC94120_NEWS_MEDIUM;'Nameless Cults' is being published in Dusseldorf. Containing depraved stories of 'lost gods', the product of the deranged mind of Friedrich von Junzt, it is starting to be distributed across $COUNTRY$.;;;;;;;;;;;;;x;;;;
EVTDESC94120_NEWS_SHORT;A book by the name of 'Nameless Cults' has been published in $COUNTRY$. and contains deranged stories of 'lost gods'.;;;;;;;;;;;;;x;;;;
EVTNAME94121;Imprint of Nameless Cults;;;;;;;;;;;;;x;;;;
EVTDESC94121;A publisher in $Capital$ is printing a local edition of the book 'Nameless Cults' in the attempt to earn money from the latest occult fad.\n\nOriginally published in Dusseldorf, it contains depraved stories of 'lost gods', the product of the deranged mind of Friedrich von Junzt.;;;;;;;;;;;;;x;;;;
EVTOPT94121A;What harm can a book do?;;;;;;;;;;;;;x;;;;
EVTOPT94121B;Such writings must be supressed!;;;;;;;;;;;;;x;;;;
EVTNAME94122;Death of Junzt;;;;;;;;;;;;;x;;;;
EVTDESC94122;Friedrich von Junzt the author of the book 'Nameless Cults' has been found dead in Dusseldorf. His corpse was found in a locked and bolted room with the marks of taloned fingers on his throat. Authorities have decided not to investigate further.;;;;;;;;;;;;;x;;;;
EVTOPT94122A;At least the nonsense should stop now.;;;;;;;;;;;;;x;;;;
EVTDESC94122_NEWS_LONG;Friedrich von Junzt the author of the book 'Nameless Cults' has been found dead in Dusseldorf. His corpse was found  in a locked and bolted room with the marks of taloned fingers on his throat. Authorities have decided not to investigate further.;;;;;;;;;;;;;x;;;;
